Task: move-ego-0-0
  Dimension 0: min=0.5873, max=1.0273, mean=0.9236, std=0.0516
  Dimension 143: min=0.9392, max=1.0000, mean=0.9741, std=0.0174
  Dimension 144: min=-0.1632, max=0.2778, mean=0.1151, std=0.0603
  Dimension 145: min=0.9563, max=1.0000, mean=0.9816, std=0.0138
  Dimension 146: min=-0.1152, max=0.2921, mean=0.1644, std=0.0922
  Dimension 147: min=-0.0952, max=0.0437, mean=-0.0161, std=0.0228
  Dimension 148: min=-0.1001, max=0.1994, mean=0.0118, std=0.0687
  Dimension 149: min=0.9708, max=1.0000, mean=0.9961, std=0.0033
  Dimension 150: min=-0.1333, max=0.1198, mean=0.0449, std=0.0306
  Dimension 151: min=0.9429, max=1.0000, mean=0.9622, std=0.0106
  Dimension 152: min=-0.2046, max=0.1175, mean=-0.0004, std=0.0720
  Dimension 153: min=-0.3274, max=0.0878, mean=-0.2528, std=0.0704
  Dimension 154: min=-0.5312, max=-0.0000, mean=-0.2537, std=0.1321
  Dimension 155: min=0.8040, max=1.0000, mean=0.9229, std=0.0381
  Dimension 156: min=-0.3925, max=0.0206, mean=-0.2459, std=0.0676
  Dimension 157: min=0.8454, max=1.0000, mean=0.9453, std=0.0311
  Dimension 158: min=-0.0029, max=0.4828, mean=0.2029, std=0.1370
  Dimension 159: min=-0.3064, max=0.0000, mean=-0.2122, std=0.0236
  Dimension 160: min=-0.5068, max=0.2038, mean=-0.1322, std=0.2172
  Dimension 161: min=0.3804, max=1.0000, mean=0.5527, std=0.0644
  Dimension 162: min=-0.8838, max=-0.0000, mean=-0.7870, std=0.0796
  Dimension 163: min=0.7949, max=1.0000, mean=0.9416, std=0.0377
  Dimension 164: min=-0.5216, max=0.2712, mean=-0.0639, std=0.2144
  Dimension 165: min=-0.6067, max=0.0000, mean=-0.2088, std=0.1352
  Dimension 166: min=-0.0000, max=0.8381, mean=0.5674, std=0.1847
  Dimension 167: min=0.1126, max=1.0000, mean=0.3388, std=0.1262
  Dimension 168: min=-0.9074, max=-0.0000, mean=-0.7074, std=0.1128
  Dimension 169: min=0.4705, max=1.0000, mean=0.7556, std=0.1584
  Dimension 170: min=-0.6985, max=0.0000, mean=-0.4602, std=0.1642
  Dimension 171: min=-0.2469, max=0.5840, mean=0.3841, std=0.1329
  Dimension 172: min=-0.0000, max=0.8587, mean=0.5534, std=0.1459
  Dimension 173: min=-0.2262, max=1.0000, mean=-0.0232, std=0.1434
  Dimension 174: min=-0.9477, max=-0.0000, mean=-0.7981, std=0.1198
  Dimension 175: min=0.2145, max=1.0000, mean=0.5646, std=0.1999
  Dimension 176: min=-0.8741, max=0.0000, mean=-0.6725, std=0.1127
  Dimension 177: min=-0.2913, max=0.5978, mean=0.4021, std=0.1207
  Dimension 178: min=-0.0000, max=0.8086, mean=0.5353, std=0.1651
  Dimension 179: min=-0.0670, max=1.0000, mean=0.1213, std=0.1281
  Dimension 180: min=-0.9634, max=-0.0000, mean=-0.8012, std=0.1144
  Dimension 181: min=0.1574, max=1.0000, mean=0.4852, std=0.1871
  Dimension 182: min=-0.9721, max=0.0000, mean=-0.8214, std=0.1050
  Dimension 183: min=-0.3301, max=0.3526, mean=0.1863, std=0.0957
  Dimension 184: min=-0.1696, max=0.3660, mean=0.1344, std=0.1337
  Dimension 185: min=0.8692, max=1.0000, mean=0.9396, std=0.0236
  Dimension 186: min=-0.0000, max=0.4393, mean=0.2807, std=0.0436
  Dimension 187: min=0.9300, max=1.0000, mean=0.9804, std=0.0215
  Dimension 188: min=-0.3616, max=0.1777, mean=-0.1295, std=0.1319
  Dimension 189: min=-0.1655, max=0.0338, mean=-0.0366, std=0.0538
  Dimension 190: min=-0.4206, max=0.3274, mean=0.0377, std=0.1629
  Dimension 191: min=0.2366, max=1.0000, mean=0.5508, std=0.0698
  Dimension 192: min=-0.0000, max=0.9504, mean=0.8111, std=0.0768
  Dimension 193: min=0.8312, max=1.0000, mean=0.9717, std=0.0187
  Dimension 194: min=-0.1587, max=0.5328, mean=0.0949, std=0.1616
  Dimension 195: min=-0.3421, max=0.1587, mean=-0.1082, std=0.0923
  Dimension 196: min=-0.9452, max=-0.0000, mean=-0.7629, std=0.1321
  Dimension 197: min=-0.1453, max=1.0000, mean=0.1485, std=0.1557
  Dimension 198: min=-0.0000, max=0.9341, mean=0.5834, std=0.1181
  Dimension 199: min=0.1444, max=1.0000, mean=0.5571, std=0.1738
  Dimension 200: min=0.0000, max=0.6702, mean=0.5396, std=0.0958
  Dimension 201: min=-0.1276, max=0.7358, mean=0.5880, std=0.1150
  Dimension 202: min=-0.9775, max=-0.0000, mean=-0.8877, std=0.1070
  Dimension 203: min=-0.2489, max=1.0000, mean=0.1662, std=0.1611
  Dimension 204: min=-0.0000, max=0.7837, mean=0.3649, std=0.1178
  Dimension 205: min=-0.1531, max=1.0000, mean=0.3454, std=0.1872
  Dimension 206: min=0.0000, max=0.8508, mean=0.7789, std=0.0842
  Dimension 207: min=-0.1784, max=0.5839, mean=0.4749, std=0.0793
  Dimension 208: min=-0.9514, max=-0.0000, mean=-0.8003, std=0.1142
  Dimension 209: min=-0.2071, max=1.0000, mean=0.1479, std=0.1521
  Dimension 210: min=-0.0000, max=0.8375, mean=0.5368, std=0.1157
  Dimension 211: min=-0.0707, max=1.0000, mean=0.4817, std=0.1792
  Dimension 212: min=0.0000, max=0.8952, mean=0.6560, std=0.0966
  Dimension 213: min=-0.1620, max=0.6465, mean=0.5341, std=0.1041
  Dimension 214: min=-0.4068, max=2.5168, mean=2.2230, std=0.4634
  Dimension 215: min=-0.2417, max=0.3216, mean=0.0478, std=0.1517
  Dimension 216: min=-0.8983, max=0.4120, mean=-0.0137, std=0.2186
  Dimension 217: min=-0.3207, max=2.6083, mean=2.2230, std=0.4504
  Dimension 218: min=-0.2579, max=0.3215, mean=0.0492, std=0.1458
  Dimension 219: min=-0.8892, max=0.4156, mean=-0.0132, std=0.2215
  Dimension 220: min=-0.5083, max=3.5476, mean=2.2088, std=1.0443
  Dimension 221: min=-0.7187, max=0.3613, mean=0.0347, std=0.1798
  Dimension 222: min=-0.9726, max=0.6265, mean=0.0041, std=0.3782
  Dimension 223: min=-1.5942, max=4.8591, mean=2.1903, std=1.8038
  Dimension 224: min=-0.5679, max=0.6607, mean=0.0237, std=0.2290
  Dimension 225: min=-0.8120, max=1.7761, mean=0.0089, std=0.4827
  Dimension 226: min=-1.7303, max=5.3044, mean=2.1820, std=2.0015
  Dimension 227: min=-0.7349, max=0.6661, mean=0.0245, std=0.2053
  Dimension 228: min=-1.1303, max=0.9386, mean=0.0023, std=0.3101
  Dimension 229: min=-0.4047, max=2.6013, mean=2.2264, std=0.4812
  Dimension 230: min=-0.2604, max=0.3206, mean=0.0493, std=0.1454
  Dimension 231: min=-0.9063, max=0.4102, mean=-0.0138, std=0.2182
  Dimension 232: min=-0.3298, max=4.2628, mean=2.2160, std=1.2801
  Dimension 233: min=-0.4734, max=0.4613, mean=0.0694, std=0.1967
  Dimension 234: min=-0.7620, max=0.9672, mean=0.0036, std=0.4480
  Dimension 235: min=-1.2171, max=6.2859, mean=2.1881, std=2.2325
  Dimension 236: min=-0.4276, max=0.5316, mean=0.0471, std=0.1923
  Dimension 237: min=-1.5313, max=1.5462, mean=0.0254, std=0.7303
  Dimension 238: min=-1.3003, max=6.8877, mean=2.1534, std=2.5757
  Dimension 239: min=-0.5334, max=0.6308, mean=0.0585, std=0.2015
  Dimension 240: min=-0.8195, max=0.8147, mean=0.0253, std=0.3662
  Dimension 241: min=-0.4604, max=2.5235, mean=2.2211, std=0.4675
  Dimension 242: min=-0.2221, max=0.3476, mean=0.0453, std=0.1640
  Dimension 243: min=-0.8933, max=0.4078, mean=-0.0144, std=0.2175
  Dimension 244: min=-0.1937, max=2.5719, mean=2.2126, std=0.4545
  Dimension 245: min=-0.3038, max=0.3790, mean=0.0434, std=0.2098
  Dimension 246: min=-0.9127, max=0.4068, mean=-0.0149, std=0.2174
  Dimension 247: min=-0.1732, max=2.5669, mean=2.2106, std=0.4526
  Dimension 248: min=-0.3722, max=0.3900, mean=0.0442, std=0.2216
  Dimension 249: min=-0.9248, max=0.4270, mean=-0.0139, std=0.2245
  Dimension 250: min=0.0000, max=2.5185, mean=2.2052, std=0.4332
  Dimension 251: min=-0.5206, max=0.5318, mean=0.0411, std=0.2990
  Dimension 252: min=-0.9319, max=0.4192, mean=-0.0142, std=0.2232
  Dimension 253: min=0.0000, max=2.5537, mean=2.2037, std=0.4336
  Dimension 254: min=-0.6348, max=0.5445, mean=0.0424, std=0.3109
  Dimension 255: min=-0.9134, max=0.4317, mean=-0.0137, std=0.2273
  Dimension 256: min=0.0000, max=2.5498, mean=2.2042, std=0.4277
  Dimension 257: min=-0.4424, max=0.4903, mean=0.0449, std=0.2692
  Dimension 258: min=-0.9545, max=0.3951, mean=-0.0143, std=0.2187
  Dimension 259: min=-0.0372, max=2.6657, mean=2.1981, std=0.4443
  Dimension 260: min=-0.4229, max=0.5328, mean=0.0449, std=0.2835
  Dimension 261: min=-1.1845, max=0.4466, mean=-0.0170, std=0.2617
  Dimension 262: min=-0.9544, max=3.6466, mean=2.1880, std=0.8733
  Dimension 263: min=-1.1005, max=0.5647, mean=0.0348, std=0.2521
  Dimension 264: min=-2.5090, max=0.4636, mean=-0.0311, std=0.3994
  Dimension 265: min=-0.4032, max=4.6301, mean=2.1903, std=1.3416
  Dimension 266: min=-2.4537, max=0.6572, mean=0.0311, std=0.3871
  Dimension 267: min=-3.9851, max=1.1485, mean=-0.0483, std=0.6224
  Dimension 268: min=-0.7437, max=4.9548, mean=2.1933, std=1.5052
  Dimension 269: min=-2.9872, max=0.7166, mean=0.0244, std=0.4697
  Dimension 270: min=-5.0807, max=1.3142, mean=-0.0548, std=0.7161
  Dimension 271: min=0.0000, max=2.5722, mean=2.2101, std=0.4697
  Dimension 272: min=-0.4336, max=0.4682, mean=0.0391, std=0.2709
  Dimension 273: min=-0.8915, max=0.4483, mean=-0.0140, std=0.2288
  Dimension 274: min=-0.0451, max=2.6961, mean=2.2118, std=0.5335
  Dimension 275: min=-0.4267, max=0.4722, mean=0.0352, std=0.2805
  Dimension 276: min=-1.0567, max=0.5587, mean=-0.0168, std=0.2791
  Dimension 277: min=-0.6838, max=3.2923, mean=2.2192, std=0.8451
  Dimension 278: min=-0.4824, max=1.3769, mean=0.0365, std=0.3319
  Dimension 279: min=-2.2705, max=0.7506, mean=-0.0331, std=0.4291
  Dimension 280: min=-0.9946, max=3.7034, mean=2.2451, std=1.0775
  Dimension 281: min=-0.5648, max=2.5173, mean=0.0665, std=0.4545
  Dimension 282: min=-4.0031, max=1.6600, mean=-0.0467, std=0.5756
  Dimension 283: min=-1.1404, max=3.8200, mean=2.2558, std=1.1382
  Dimension 284: min=-0.7938, max=2.8936, mean=0.0769, std=0.5323
  Dimension 285: min=-4.5159, max=2.0341, mean=-0.0500, std=0.6550
  Dimension 286: min=-0.5697, max=0.9259, mean=0.0045, std=0.2303
  Dimension 287: min=-1.2324, max=0.9497, mean=-0.0178, std=0.4310
  Dimension 288: min=-1.9332, max=1.6271, mean=0.0242, std=0.6809
  Dimension 289: min=-1.3004, max=1.0080, mean=0.0200, std=0.2854
  Dimension 290: min=-4.2146, max=5.5928, mean=0.0277, std=2.7937
  Dimension 291: min=-1.8834, max=1.9653, mean=-0.0157, std=0.7451
  Dimension 292: min=-1.2481, max=1.2627, mean=0.0241, std=0.3521
  Dimension 293: min=-5.2080, max=6.8845, mean=0.0422, std=3.0022
  Dimension 294: min=-2.4182, max=1.6760, mean=-0.0053, std=0.6862
  Dimension 295: min=-1.6929, max=1.6303, mean=0.0388, std=0.4062
  Dimension 296: min=-6.3928, max=12.5016, mean=0.0847, std=3.7339
  Dimension 297: min=-3.6099, max=1.9434, mean=0.0139, std=0.6614
  Dimension 298: min=-5.3301, max=3.3655, mean=0.0958, std=0.8254
  Dimension 299: min=-5.1219, max=13.3879, mean=-0.1074, std=3.2585
  Dimension 300: min=-3.0425, max=1.6824, mean=-0.0136, std=0.6268
  Dimension 301: min=-1.0614, max=0.7323, mean=-0.0892, std=0.4885
  Dimension 302: min=-5.2601, max=5.5285, mean=0.0432, std=3.0207
  Dimension 303: min=-1.9441, max=2.1438, mean=0.1548, std=0.9327
  Dimension 304: min=-1.3616, max=1.3627, mean=-0.0647, std=0.5871
  Dimension 305: min=-8.8850, max=5.1106, mean=0.0690, std=4.1565
  Dimension 306: min=-1.9187, max=2.3962, mean=0.0991, std=0.9523
  Dimension 307: min=-4.2013, max=2.5294, mean=-0.0551, std=0.8156
  Dimension 308: min=-10.5135, max=13.0124, mean=0.2255, std=5.8573
  Dimension 309: min=-2.4588, max=3.1186, mean=-0.0797, std=0.8189
  Dimension 310: min=-4.2662, max=4.1912, mean=-0.1922, std=1.0419
  Dimension 311: min=-8.3697, max=14.2352, mean=0.2464, std=5.4539
  Dimension 312: min=-2.8998, max=2.4547, mean=-0.0447, std=0.9829
  Dimension 313: min=-0.9409, max=0.7920, mean=0.0059, std=0.4025
  Dimension 314: min=-1.1859, max=1.9706, mean=-0.0588, std=0.5167
  Dimension 315: min=-2.1088, max=0.8691, mean=0.0393, std=0.4370
  Dimension 316: min=-1.2121, max=0.8617, mean=0.0171, std=0.4390
  Dimension 317: min=-0.9662, max=0.9740, mean=-0.0536, std=0.4276
  Dimension 318: min=-2.1861, max=1.1218, mean=0.0422, std=0.6343
  Dimension 319: min=-1.0243, max=0.8730, mean=0.0385, std=0.4338
  Dimension 320: min=-0.8907, max=3.2277, mean=-0.0419, std=0.4995
  Dimension 321: min=-2.5462, max=1.7121, mean=0.0287, std=1.2001
  Dimension 322: min=-1.6369, max=1.2152, mean=0.0288, std=0.5750
  Dimension 323: min=-0.6814, max=1.6142, mean=-0.0401, std=0.3439
  Dimension 324: min=-1.9427, max=1.3881, mean=0.0491, std=0.6462
  Dimension 325: min=-2.4742, max=2.0952, mean=-0.0027, std=0.5670
  Dimension 326: min=-1.4605, max=2.1784, mean=0.0205, std=0.6820
  Dimension 327: min=-4.3785, max=1.5120, mean=0.0461, std=0.7537
  Dimension 328: min=-2.9828, max=1.4402, mean=0.0009, std=0.9008
  Dimension 329: min=-0.7866, max=3.5175, mean=-0.0953, std=0.3944
  Dimension 330: min=-2.4258, max=2.0531, mean=0.0684, std=1.2881
  Dimension 331: min=-8.0925, max=1.1182, mean=0.0417, std=0.9523
  Dimension 332: min=-3.3472, max=11.2681, mean=-0.0454, std=1.8482
  Dimension 333: min=-3.6543, max=3.2252, mean=0.1545, std=2.0918
  Dimension 334: min=-13.8891, max=1.1931, mean=0.0411, std=1.2180
  Dimension 335: min=-3.8610, max=8.8998, mean=-0.0627, std=2.2416
  Dimension 336: min=-5.7012, max=3.0925, mean=0.0926, std=1.9995
  Dimension 337: min=-13.9062, max=0.9936, mean=-0.1317, std=1.2212
  Dimension 338: min=-4.1075, max=10.0020, mean=0.0635, std=2.3865
  Dimension 339: min=-7.6594, max=2.9366, mean=-0.0456, std=1.9537
  Dimension 340: min=-13.9764, max=1.2294, mean=-0.0974, std=1.1579
  Dimension 341: min=-4.2600, max=11.3012, mean=0.0484, std=2.3808
  Dimension 342: min=-7.6544, max=2.9162, mean=-0.0344, std=1.9355
  Dimension 343: min=-1.6476, max=1.9545, mean=0.0948, std=0.6380
  Dimension 344: min=-1.2022, max=2.5264, mean=-0.0192, std=0.6506
  Dimension 345: min=-2.6899, max=2.0367, mean=0.0211, std=1.2433
  Dimension 346: min=-1.8891, max=8.0212, mean=0.0551, std=0.9672
  Dimension 347: min=-3.2518, max=4.8440, mean=-0.0009, std=1.1971
  Dimension 348: min=-3.6987, max=2.2760, mean=0.0347, std=1.5575
  Dimension 349: min=-1.1680, max=8.6139, mean=0.0753, std=1.0076
  Dimension 350: min=-4.9121, max=3.9165, mean=-0.0251, std=1.5980
  Dimension 351: min=-2.9231, max=7.1660, mean=0.1266, std=1.5437
  Dimension 352: min=-0.8619, max=8.1503, mean=0.0613, std=0.9329
  Dimension 353: min=-4.7849, max=4.7444, mean=-0.0345, std=1.3779
  Dimension 354: min=-2.9816, max=8.8238, mean=0.1507, std=1.4174
  Dimension 355: min=-1.6382, max=7.9246, mean=0.0263, std=0.9528
  Dimension 356: min=-4.5452, max=4.1334, mean=-0.0540, std=1.5622
  Dimension 357: min=-3.5282, max=8.7749, mean=0.1081, std=1.4909

Task: move-ego-0-4
  Dimension 0: min=0.6860, max=0.9400, mean=0.8290, std=0.0323
  Dimension 1: min=-0.0245, max=-0.0048, mean=-0.0125, std=0.0042
  Dimension 2: min=0.0687, max=0.0824, mean=0.0783, std=0.0025
  Dimension 3: min=-0.0915, max=-0.0771, mean=-0.0831, std=0.0025
  Dimension 4: min=-0.1229, max=0.2666, mean=0.1315, std=0.1021
  Dimension 5: min=0.0624, max=0.1281, mean=0.1000, std=0.0111
  Dimension 6: min=-0.4666, max=-0.3354, mean=-0.4127, std=0.0410
  Dimension 7: min=-0.4756, max=0.1559, mean=-0.1450, std=0.1750
  Dimension 8: min=0.0520, max=0.1229, mean=0.0911, std=0.0159
  Dimension 9: min=-0.8646, max=-0.5050, mean=-0.6692, std=0.0739
  Dimension 10: min=-0.3972, max=0.2851, mean=-0.0484, std=0.1989
  Dimension 11: min=0.0851, max=0.1744, mean=0.1280, std=0.0174
  Dimension 12: min=-0.9204, max=-0.6265, mean=-0.7415, std=0.0528
  Dimension 13: min=-0.0262, max=-0.0021, mean=-0.0110, std=0.0049
  Dimension 14: min=-0.0685, max=-0.0534, mean=-0.0582, std=0.0029
  Dimension 15: min=-0.0990, max=-0.0896, mean=-0.0962, std=0.0018
  Dimension 16: min=-0.1994, max=0.2819, mean=0.1077, std=0.1256
  Dimension 17: min=-0.2027, max=-0.0275, mean=-0.0615, std=0.0271
  Dimension 18: min=-0.4832, max=-0.3504, mean=-0.4356, std=0.0447
  Dimension 19: min=-0.5654, max=0.2274, mean=-0.1659, std=0.2052
  Dimension 20: min=-0.2084, max=0.0429, mean=-0.0080, std=0.0400
  Dimension 21: min=-0.8715, max=-0.5146, mean=-0.6858, std=0.0790
  Dimension 22: min=-0.5185, max=0.3455, mean=-0.0711, std=0.2244
  Dimension 23: min=-0.2743, max=0.0032, mean=-0.0616, std=0.0448
  Dimension 24: min=-0.9196, max=-0.6020, mean=-0.7523, std=0.0589
  Dimension 25: min=-0.0292, max=-0.0022, mean=-0.0192, std=0.0056
  Dimension 26: min=-0.0188, max=-0.0016, mean=-0.0135, std=0.0032
  Dimension 27: min=0.1077, max=0.1115, mean=0.1096, std=0.0009
  Dimension 28: min=-0.0256, max=0.0259, mean=-0.0005, std=0.0095
  Dimension 29: min=-0.0173, max=0.0169, mean=-0.0053, std=0.0062
  Dimension 30: min=0.2361, max=0.2458, mean=0.2431, std=0.0015
  Dimension 31: min=-0.0002, max=0.0679, mean=0.0402, std=0.0107
  Dimension 32: min=-0.0211, max=0.0346, mean=-0.0020, std=0.0107
  Dimension 33: min=0.2785, max=0.2983, mean=0.2845, std=0.0027
  Dimension 34: min=-0.0431, max=0.0793, mean=0.0428, std=0.0139
  Dimension 35: min=-0.0437, max=0.0702, mean=-0.0105, std=0.0181
  Dimension 36: min=0.4951, max=0.5148, mean=0.5022, std=0.0026
  Dimension 37: min=0.0082, max=0.1352, mean=0.0951, std=0.0151
  Dimension 38: min=-0.0571, max=0.0918, mean=-0.0081, std=0.0254
  Dimension 39: min=0.5586, max=0.5793, mean=0.5660, std=0.0027
  Dimension 40: min=-0.0343, max=0.0560, mean=0.0231, std=0.0182
  Dimension 41: min=0.0466, max=0.1290, mean=0.0706, std=0.0126
  Dimension 42: min=0.3906, max=0.4248, mean=0.4125, std=0.0044
  Dimension 43: min=-0.0695, max=0.0624, mean=0.0026, std=0.0346
  Dimension 44: min=0.1420, max=0.2184, mean=0.1608, std=0.0115
  Dimension 45: min=0.3587, max=0.4549, mean=0.4272, std=0.0137
  Dimension 46: min=-0.2799, max=0.0852, mean=-0.1186, std=0.0940
  Dimension 47: min=0.1914, max=0.4339, mean=0.2629, std=0.0338
  Dimension 48: min=0.1248, max=0.4381, mean=0.2350, std=0.0423
  Dimension 49: min=-0.2425, max=0.3264, mean=0.1087, std=0.1183
  Dimension 50: min=0.2201, max=0.6831, mean=0.3058, std=0.0572
  Dimension 51: min=-0.0341, max=0.4455, mean=0.2076, std=0.0540
  Dimension 52: min=-0.2318, max=0.4059, mean=0.1849, std=0.1300
  Dimension 53: min=0.2000, max=0.7671, mean=0.3151, std=0.0754
  Dimension 54: min=-0.1097, max=0.4373, mean=0.1869, std=0.0618
  Dimension 55: min=-0.0388, max=0.0790, mean=0.0368, std=0.0185
  Dimension 56: min=-0.1116, max=-0.0249, mean=-0.0869, std=0.0139
  Dimension 57: min=0.3929, max=0.4288, mean=0.4064, std=0.0046
  Dimension 58: min=-0.0479, max=0.0900, mean=0.0251, std=0.0350
  Dimension 59: min=-0.2066, max=-0.1111, mean=-0.1857, std=0.0134
  Dimension 60: min=0.3769, max=0.4504, mean=0.4092, std=0.0094
  Dimension 61: min=-0.2144, max=0.1894, mean=-0.0675, std=0.0700
  Dimension 62: min=-0.4278, max=-0.1871, mean=-0.2998, std=0.0308
  Dimension 63: min=0.1386, max=0.4352, mean=0.2081, std=0.0256
  Dimension 64: min=-0.0749, max=0.4118, mean=0.1478, std=0.0803
  Dimension 65: min=-0.6823, max=-0.1079, mean=-0.2568, std=0.0547
  Dimension 66: min=-0.0325, max=0.4430, mean=0.0966, std=0.0491
  Dimension 67: min=-0.0852, max=0.4795, mean=0.2264, std=0.0827
  Dimension 68: min=-0.7669, max=-0.0578, mean=-0.2438, std=0.0698
  Dimension 69: min=-0.0909, max=0.4369, mean=0.0768, std=0.0605
  Dimension 70: min=-0.0019, max=0.0315, mean=0.0072, std=0.0061
  Dimension 71: min=0.9887, max=1.0000, mean=0.9944, std=0.0026
  Dimension 72: min=-0.0083, max=0.1494, mean=0.1005, std=0.0295
  Dimension 73: min=0.9752, max=1.0000, mean=0.9963, std=0.0045
  Dimension 74: min=-0.0000, max=0.0000, mean=-0.0000, std=0.0000
  Dimension 75: min=-0.2215, max=0.0234, mean=-0.0689, std=0.0504
  Dimension 76: min=-0.0000, max=0.1973, mean=0.0931, std=0.0368
  Dimension 77: min=0.9796, max=1.0000, mean=0.9942, std=0.0035
  Dimension 78: min=-0.1121, max=0.0963, mean=0.0083, std=0.0389
  Dimension 79: min=0.6717, max=1.0000, mean=0.8698, std=0.1091
  Dimension 80: min=-0.1894, max=0.0000, mean=-0.0923, std=0.0338
  Dimension 81: min=-0.2996, max=0.7357, mean=0.3871, std=0.2683
  Dimension 82: min=-0.1308, max=0.1731, mean=0.1024, std=0.0476
  Dimension 83: min=0.9707, max=1.0000, mean=0.9880, std=0.0046
  Dimension 84: min=-0.1739, max=0.0883, mean=-0.0947, std=0.0450
  Dimension 85: min=0.2085, max=1.0000, mean=0.7066, std=0.2172
  Dimension 86: min=-0.2209, max=0.1531, mean=-0.1364, std=0.0509
  Dimension 87: min=-0.9586, max=0.0000, mean=-0.6063, std=0.2543
  Dimension 88: min=-0.2404, max=0.0640, mean=-0.0708, std=0.0580
  Dimension 89: min=0.9591, max=1.0000, mean=0.9944, std=0.0054
  Dimension 90: min=-0.0971, max=0.1601, mean=0.0133, std=0.0516
  Dimension 91: min=0.6335, max=1.0000, mean=0.9104, std=0.0975
  Dimension 92: min=-0.0644, max=0.2522, mean=0.0846, std=0.0515
  Dimension 93: min=-0.7737, max=0.4424, mean=-0.1812, std=0.3450
  Dimension 94: min=-0.2377, max=0.1112, mean=-0.0008, std=0.0532
  Dimension 95: min=0.9687, max=1.0000, mean=0.9976, std=0.0032
  Dimension 96: min=-0.0958, max=0.1288, mean=0.0027, std=0.0439
  Dimension 97: min=0.5410, max=1.0000, mean=0.8816, std=0.1273
  Dimension 98: min=-0.1079, max=0.2087, mean=0.0124, std=0.0487
  Dimension 99: min=-0.8379, max=0.5577, mean=-0.2375, std=0.3843
  Dimension 100: min=-0.1517, max=0.0964, mean=-0.0611, std=0.0443
  Dimension 101: min=0.9639, max=1.0000, mean=0.9917, std=0.0063
  Dimension 102: min=-0.2658, max=0.1708, mean=0.0778, std=0.0686
  Dimension 103: min=0.6401, max=1.0000, mean=0.8756, std=0.1234
  Dimension 104: min=-0.1649, max=0.1307, mean=0.0309, std=0.0495
  Dimension 105: min=-0.4411, max=0.7682, mean=0.3307, std=0.3245
  Dimension 106: min=-0.0477, max=0.1712, mean=0.0587, std=0.0407
  Dimension 107: min=0.9569, max=1.0000, mean=0.9925, std=0.0054
  Dimension 108: min=-0.2345, max=0.1772, mean=0.0703, std=0.0694
  Dimension 109: min=0.2116, max=1.0000, mean=0.6999, std=0.2298
  Dimension 110: min=-0.2843, max=0.0934, mean=-0.0100, std=0.0566
  Dimension 111: min=-0.9741, max=0.0000, mean=-0.6174, std=0.2701
  Dimension 112: min=-0.0244, max=0.5293, mean=0.2118, std=0.0944
  Dimension 113: min=0.7742, max=1.0000, mean=0.9669, std=0.0295
  Dimension 114: min=-0.4222, max=0.1529, mean=-0.0417, std=0.0929
  Dimension 115: min=0.6305, max=1.0000, mean=0.8886, std=0.0906
  Dimension 116: min=-0.6290, max=0.0243, mean=-0.2325, std=0.0943
  Dimension 117: min=-0.7415, max=0.4556, mean=-0.1905, std=0.3209
  Dimension 118: min=-0.0658, max=0.5341, mean=0.2416, std=0.1079
  Dimension 119: min=0.8023, max=1.0000, mean=0.9592, std=0.0292
  Dimension 120: min=-0.3227, max=0.1418, mean=-0.0357, std=0.0880
  Dimension 121: min=0.6678, max=1.0000, mean=0.8801, std=0.0723
  Dimension 122: min=-0.5962, max=0.0694, mean=-0.2490, std=0.1122
  Dimension 123: min=-0.6828, max=0.5627, mean=-0.1037, std=0.3672
  Dimension 124: min=-0.1778, max=0.1589, mean=0.0075, std=0.0950
  Dimension 125: min=0.9764, max=1.0000, mean=0.9949, std=0.0039
  Dimension 126: min=-0.1569, max=0.0445, mean=-0.0204, std=0.0271
  Dimension 127: min=0.9524, max=1.0000, mean=0.9857, std=0.0079
  Dimension 128: min=-0.1593, max=0.1663, mean=-0.0105, std=0.0923
  Dimension 129: min=-0.2904, max=0.0000, mean=-0.1309, std=0.0510
  Dimension 130: min=-0.2769, max=0.1901, mean=-0.0689, std=0.1399
  Dimension 131: min=0.9533, max=1.0000, mean=0.9863, std=0.0120
  Dimension 132: min=-0.1948, max=0.0770, mean=0.0279, std=0.0442
  Dimension 133: min=0.8823, max=1.0000, mean=0.9295, std=0.0202
  Dimension 134: min=-0.1922, max=0.2796, mean=0.0757, std=0.1310
  Dimension 135: min=-0.3954, max=0.0013, mean=-0.3288, std=0.0685
  Dimension 136: min=-0.3662, max=0.2037, mean=-0.1153, std=0.1691
  Dimension 137: min=0.9304, max=1.0000, mean=0.9772, std=0.0210
  Dimension 138: min=-0.2004, max=0.1098, mean=0.0265, std=0.0460
  Dimension 139: min=0.9068, max=1.0000, mean=0.9570, std=0.0203
  Dimension 140: min=-0.1939, max=0.3627, mean=0.1187, std=0.1629
  Dimension 141: min=-0.2498, max=0.0000, mean=-0.2057, std=0.0261
  Dimension 142: min=-0.2005, max=0.3148, mean=0.0672, std=0.1450
  Dimension 143: min=0.9491, max=1.0000, mean=0.9861, std=0.0146
  Dimension 144: min=-0.1910, max=0.0463, mean=-0.0140, std=0.0417
  Dimension 145: min=0.9485, max=1.0000, mean=0.9862, std=0.0147
  Dimension 146: min=-0.3140, max=0.2047, mean=-0.0670, std=0.1450
  Dimension 147: min=-0.1036, max=0.1215, mean=-0.0207, std=0.0341
  Dimension 148: min=-0.2836, max=0.2506, mean=0.0518, std=0.1134
